"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 07 19:33:44 GMT 2024","Fri Jun 07 19:33:45 GMT 2024","824","tests","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 07 19:33:34 GMT 2024","Fri Jun 07 19:33:34 GMT 2024","316","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 07 19:33:34 GMT 2024","Fri Jun 07 19:33:35 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"broken","Fri Jun 07 19:33:57 GMT 2024","Fri Jun 07 19:34:03 GMT 2024","6327","tests","test_send_email","","","","test_sending_mail",""
"passed","Fri Jun 07 19:33:51 GMT 2024","Fri Jun 07 19:33:51 GMT 2024","46","tests","test_home","","","","test_successful_login",""
"passed","Fri Jun 07 19:33:53 GMT 2024","Fri Jun 07 19:33:53 GMT 2024","686","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 07 19:33:33 GMT 2024","Fri Jun 07 19:33:34 GMT 2024","742","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 07 19:33:51 GMT 2024","Fri Jun 07 19:33:52 GMT 2024","685","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 07 19:33:35 GMT 2024","Fri Jun 07 19:33:35 GMT 2024","382","tests.api","test_api_sign_up","","","","test_successful_sign_up",""
"passed","Fri Jun 07 19:33:54 GMT 2024","Fri Jun 07 19:33:56 GMT 2024","2168","tests","test_register","","","","test_successful_register",""
"passed","Fri Jun 07 19:33:34 GMT 2024","Fri Jun 07 19:33:34 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 07 19:33:47 GMT 2024","Fri Jun 07 19:33:49 GMT 2024","2847","tests","test_edit","","","","test_edit",""
